Vacancy_id;Vacancy_name;Vacancy_url;Salary_min;Salary_max;Salary_cur;Employer_name;Employer_url;Employer_city
82931697;Data Scientist, Маркетплейс, Контент и товары;https://hh.ru/vacancy/82931697;0;0;-;Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy;-
83782073;Senior/middle data scientist (возможен удаленный формат);https://hh.ru/vacancy/83782073;0;0;-;Hunt Expert;https://hh.ru/employer/7648?hhtmFrom=vacancy;Москва
83954464;Data Scientist – Computer Vision;https://hh.ru/vacancy/83954464;0;0;-;Aramco Innovations;https://hh.ru/employer/3823903?hhtmFrom=vacancy;-
83440171;Data scientist;https://hh.ru/vacancy/83440171;0;0;-;Сбер. Data Science;https://hh.ru/employer/3529?dpt=3529-3529-data&hhtmFrom=vacancy;Южно-Сахалинск
83664383;Data Scientist;https://hh.ru/vacancy/83664383;150000;150000;₽;StudyWorld;https://hh.ru/employer/1013375?hhtmFrom=vacancy;-
81297647;Data scientist (Персональная скидка);https://hh.ru/vacancy/81297647;0;0;-;Компания «СПОРТМАСТЕР», Sportmaster Lab;https://hh.ru/employer/2343?dpt=2343-2343-it&hhtmFrom=vacancy;Москва
79811721;Data Scientist;https://hh.ru/vacancy/79811721;0;0;-;ПАО Детский Мир;https://hh.ru/employer/4880?hhtmFrom=vacancy;-
80805489;Data Scientist/ML (команда System Team);https://hh.ru/vacancy/80805489;0;0;-;ВСК, САО;https://hh.ru/employer/1439?hhtmFrom=vacancy;Москва
83441997;Lead Data Scientist в R&D-команду логистики Маркета;https://hh.ru/vacancy/83441997;400000;650000;₽;Яндекс;https://hh.ru/employer/1740?hhtmFrom=vacancy;Москва
76461371;Data Scientist;https://hh.ru/vacancy/76461371;0;0;-;ГАУ Города Москвы Центр цифровизации образования;https://hh.ru/employer/5601550?hhtmFrom=vacancy;-
83293320;Data-Scientist;https://hh.ru/vacancy/83293320;0;0;-;Weborama Russia;https://hh.ru/employer/202134?hhtmFrom=vacancy;-
82934170;Data scientist (Управление скоринга и Биг Дата);https://hh.ru/vacancy/82934170;0;0;-;Банк Хоум Кредит;https://hh.ru/employer/1496?hhtmFrom=vacancy;-
83441998;Lead Data Scientist в R&D-команду логистики Маркета;https://hh.ru/vacancy/83441998;400000;650000;₽;Яндекс;https://hh.ru/employer/1740?hhtmFrom=vacancy;Екатеринбург
82417734;Data Scientist (модели Collection);https://hh.ru/vacancy/82417734;0;0;-;Газпромбанк;https://hh.ru/employer/3388?dpt=3388-3388-gazprom&hhtmFrom=vacancy;Москва
83352388;Data Scientist;https://hh.ru/vacancy/83352388;0;0;-;Университет Иннополис;https://hh.ru/employer/1160188?hhtmFrom=vacancy;-
79715865;Data Scientist Управления модельных рисков и валидации;https://hh.ru/vacancy/79715865;0;0;-;ПАО ВТБ, Технологический блок;https://hh.ru/employer/4181?dpt=vtb-4181-teh&hhtmFrom=vacancy;Новосибирск
83700578;Data Scientist в Департамент моделирования корпоративных и финансовых рисков;https://hh.ru/vacancy/83700578;0;0;-;Газпромбанк;https://hh.ru/employer/3388?dpt=3388-3388-gazprom&hhtmFrom=vacancy;Москва
83282927;Математик-программист /Data Scientist;https://hh.ru/vacancy/83282927;0;0;-;ООО Цифромед;https://hh.ru/employer/4333633?hhtmFrom=vacancy;Москва, Деловой центр, Международная, Тестовская
83375369;Data scientist в Центр искусственного интеллекта Сбера;https://hh.ru/vacancy/83375369;0;0;-;Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy;Москва
82184176;Data Scientist, Ozon Fintech;https://hh.ru/vacancy/82184176;0;0;-;Ozon Fintech;https://hh.ru/employer/2180?dpt=ozonru-2180-fintech&hhtmFrom=vacancy;Москва
83526402;Data scientist (Middle);https://hh.ru/vacancy/83526402;0;0;-;ПАО МегаФон, Инженерные;https://hh.ru/employer/3127?dpt=mgfn-3127-engine&hhtmFrom=vacancy;-
83412446;Математик-Программист / Applied Scientist;https://hh.ru/vacancy/83412446;0;0;-;ООО Пиклема;https://hh.ru/employer/4323102?hhtmFrom=vacancy;-
83442000;Lead Data Scientist в R&D-команду логистики Маркета;https://hh.ru/vacancy/83442000;400000;650000;₽;Яндекс;https://hh.ru/employer/1740?hhtmFrom=vacancy;Санкт-Петербург
82540806;Data Scientist;https://hh.ru/vacancy/82540806;0;0;-;Ниармедик Ваш Доктор Рядом;https://hh.ru/employer/5044608?hhtmFrom=vacancy;-
82993212;Data Scientist;https://hh.ru/vacancy/82993212;0;0;-;Carcade Leasing;https://hh.ru/employer/1433?hhtmFrom=vacancy;-
83580893;Senior Data scientist (Computer Vision);https://hh.ru/vacancy/83580893;0;0;-;НЕЙРОВИЖН;https://hh.ru/employer/6104838?hhtmFrom=vacancy;Москва
83419862;Middle Data Scientist;https://hh.ru/vacancy/83419862;260000;260000;₽;Точка;https://hh.ru/employer/2324020?hhtmFrom=vacancy;Москва
70163749;Data Scientist (middle/senior);https://hh.ru/vacancy/70163749;0;0;-;Rubbles;https://hh.ru/employer/2223982?hhtmFrom=vacancy;Москва
79927092;Data Scientist (NLP);https://hh.ru/vacancy/79927092;0;0;-;Сбер. IT;https://hh.ru/employer/3529?dpt=3529-3529-it&hhtmFrom=vacancy;Москва
76974214;Data scientist (Ценообразование);https://hh.ru/vacancy/76974214;0;0;-;Компания «СПОРТМАСТЕР», Sportmaster Lab;https://hh.ru/employer/2343?dpt=2343-2343-it&hhtmFrom=vacancy;-
82977137;Middle Data Scientist;https://hh.ru/vacancy/82977137;120000;250000;₽;ООО Автомакон;https://hh.ru/employer/839098?hhtmFrom=vacancy;Москва
79404780;Data Scientist;https://hh.ru/vacancy/79404780;0;0;-;Сбер. IT;https://hh.ru/employer/3529?dpt=3529-3529-it&hhtmFrom=vacancy;Москва
70903553;Data Scientist (сопровождение процесса разработки и использования моделей);https://hh.ru/vacancy/70903553;0;0;-;ПАО ВТБ, Подразделения Поддержки и Контроля;https://hh.ru/employer/4181?dpt=vtb-4181-pik&hhtmFrom=vacancy;Москва
81952814;Data Scientist (Лента онлайн);https://hh.ru/vacancy/81952814;0;0;-;Лента, федеральная розничная сеть, IT ;https://hh.ru/employer/7172?dpt=7172-7172-it&hhtmFrom=vacancy;-
